,created_at,author_id,id,text
26,2022-04-12T07:34:24.000Z,1369573838007062535,1513782570659778563,"@arifbsantoso @mbahndi @rezagunawan @kemenhub151 @kemendagri @satgascovid19id @PerekonomianRI @erickthohir @jokowi @PNS_Ababil @KemenkesRI coba lu di posisi toke yg udah terlanjur impor masker,reagen,vaksin dlm skala besar..dapettinnya pun berdarah2..duit super gede terlanjur keluar..
yg ngasih influence bisnis pasti deg2an kan dimaki2 si toke kalo sampe gagal ROI+laba"
27,2022-04-12T07:34:23.000Z,3827798354,1513782567639859201,"@hyang_wisnu @kemkominfo @PlateJohnny @jokowi @setkabgoid @Aryprasetyo85 @zhekoes @sangamei @D_N4bil5 @Urrangawak @soen_cak @DS_yantie @03__nakula Delegasi negara anggota G20 mengusulkan untuk mempertimbangkan aspek di luar teknis teknologi informasi dan komunikasi dalam isu ini.
@kemkominfo @PlateJohnny"
28,2022-04-12T07:34:14.000Z,217376888,1513782530704510985,"@detikcom Kalo mau menilai sesuatu itu mundur atau maju ya harus disepakati dulu patokan titik awalnya dimana, dan asumsi saya adik2 mahasiswa ini pake patokan yg dipake adalah awal Jokowi jadi presiden di 2014? 🤔 era Pepo dong ya yg jd acuan? 😁"
29,2022-04-12T07:34:10.000Z,1207132092699533312,1513782512954187780,@kiwalipitu @sehat_roemah @jokowi @ganjarpranowo @hputrasoeharto yo nmax 250
30,2022-04-12T07:34:06.000Z,1100283395521708037,1513782494621241344,"@ipungvice1 @CNNIndonesia @cakimiNOW 1. Iya Jokowi membiarkan wacana 3 periode semakin berkembang, mentri2 dan partai koalisi aktif menggalang dukungan. 
2. Jika Jokowi 3 periode d anggap kebebasan pendapat, maka turunkan Jokowi jg pendapat om.. Boleh2 aja toh d sampaikan..kan bisa Jokowi turun secara konstitusi 😁"
31,2022-04-12T07:33:59.000Z,847372542830444544,1513782469002407938,Sah! Jokowi Lantik Komisioner KPU &amp; Bawaslu Periode 2022-2027 https://t.co/X8vORzp7Fn
32,2022-04-12T07:33:53.000Z,737975088,1513782440388853763,@baratmoscow @nadrpalupi @ChusnulCh__ @DivHumas_Polri @ListyoSigitP Sebagai nonmuslim Kapolri yang sekarang ini tidak akan berani bertindak tegas terhadap kaum radikal @jokowi @ListyoSigitP @DlVHUMASPOLRI @mohmahfudmd @Dr_Moeldoko
33,2022-04-12T07:33:48.000Z,1358629920084094976,1513782422143631364,"@RamliRizal Uraa,,bravo mr.jokowi,selesaikan semua proyek proyek mangkrak,sampai akhir masa jabatanya"
34,2022-04-12T07:33:46.000Z,952820028839088128,1513782410495758336,Ayooooooo..Pak Jendral ini Istri TNI kurang ajaaar @Puspen_TNI @tni_ad  bukankah kemarin sudah di ingatkan olih Pak presiden @jokowi masalah begini..👇👇 https://t.co/A9lV6A4SWp
35,2022-04-12T07:33:38.000Z,1289557085688983552,1513782380938477569,@TaufikDamas Kami turut bergembira bersama pak Jokowi 😄😁 https://t.co/fg0QSjDaW8
